"date","daily.demand"
2015-06-18,8
2015-06-19,7
2015-06-20,8
2015-06-21,7
2015-06-22,11
2015-06-23,9
2015-06-24,10
2015-06-25,7
2015-06-26,12
2015-06-27,12
2015-06-28,12
2015-06-29,10
2015-06-30,15
2015-07-01,12
2015-07-02,9
2015-07-03,8
2015-07-04,6
2015-07-05,7
2015-07-06,6
2015-07-07,7
2015-07-08,11
2015-07-09,9
2015-07-10,11
2015-07-12,8
2015-07-13,9
2015-07-14,5
2015-07-15,8
2015-07-16,13
2015-07-17,12
2015-07-18,9
2015-07-19,16
2015-07-20,13
2015-07-21,14
2015-07-22,10
2015-07-23,11
2015-07-24,13
2015-07-25,11
2015-07-26,12
2015-07-27,5
2015-07-28,5
2015-07-29,3
2015-07-30,5
2015-07-31,6
2015-08-01,3
2015-08-02,7
2015-08-03,12
2015-08-04,11
2015-08-05,11
2015-08-06,7
2015-08-07,6
2015-08-08,9
2015-08-09,10
2015-08-10,11
2015-08-12,6
2015-08-13,8
2015-08-14,10
2015-08-15,8
2015-08-16,9
2015-08-17,13
2015-08-18,15
2015-08-19,14
2015-08-20,12
2015-08-21,8
2015-08-22,6
2015-08-23,8
2015-08-24,10
2015-08-25,13
2015-08-26,12
2015-08-27,10
2015-08-28,9
2015-08-29,5
2015-08-30,5
2015-08-31,6
2015-09-01,8
2015-09-02,11
2015-09-03,10
2015-09-04,10
2015-09-05,10
2015-09-06,6
2015-09-07,6
2015-09-08,8
2015-09-09,10
2015-09-10,8
2015-09-11,8
2015-09-13,7
2015-09-14,7
2015-09-15,6
2015-09-16,10
2015-09-17,10
2015-09-18,6
2015-09-19,10
2015-09-20,12
2015-09-21,12
2015-09-22,12
2015-09-23,11
2015-09-24,11
2015-09-25,8
2015-09-26,7
2015-09-27,7
2015-09-28,8
2015-09-29,9
2015-09-30,10
2015-10-01,11
2015-10-02,12
2015-10-03,11
2015-10-04,11
2015-10-05,8
2015-10-06,8
2015-10-07,9
2015-10-08,11
2015-10-09,12
2015-10-10,15
2015-10-11,11
2015-10-12,12
2015-10-13,12
2015-10-15,8
2015-10-16,5
2015-10-17,5
2015-10-18,5
2015-10-19,7
2015-10-20,9
2015-10-21,6
2015-10-22,7
2015-10-23,6
2015-10-24,6
2015-10-25,8
2015-10-26,12
2015-10-27,11
2015-10-28,11
2015-10-29,12
2015-10-30,13
2015-10-31,11
2015-11-01,10
2015-11-02,10
2015-11-03,8
2015-11-04,11
2015-11-05,9
2015-11-06,12
2015-11-07,9
2015-11-08,12
2015-11-09,10
2015-11-10,12
2015-11-11,13
2015-11-12,10
2015-11-13,11
2015-11-15,6
2015-11-16,3
2015-11-17,5
2015-11-18,6
2015-11-19,7
2015-11-20,7
2015-11-21,5
2015-11-22,6
2015-11-23,9
2015-11-24,11
2015-11-25,10
2015-11-26,6
2015-11-27,7
2015-11-28,7
2015-11-29,9
2015-11-30,9
2015-12-01,9
2015-12-02,9
2015-12-03,8
2015-12-04,9
2015-12-05,8
2015-12-06,9
2015-12-07,10
2015-12-08,9
2015-12-09,8
2015-12-10,8
2015-12-11,6
2015-12-12,6
2015-12-13,5
2015-12-14,8
2015-12-15,7
2015-12-17,6
2015-12-18,6
2015-12-19,4
2015-12-20,5
2015-12-21,4
2015-12-22,1
2015-12-23,4
2015-12-24,4
2015-12-25,4
2015-12-26,4
2015-12-27,5
2015-12-28,8
2015-12-29,11
2015-12-30,11
2015-12-31,10
2016-01-01,10
2016-01-02,9
2016-01-03,9
2016-01-04,10
2016-01-05,10
2016-01-06,7
2016-01-07,6
2016-01-08,7
2016-01-09,8
2016-01-10,7
2016-01-11,6
2016-01-12,6
2016-01-13,6
2016-01-14,5
2016-01-15,5
2016-01-17,2
2016-01-18,2
2016-01-19,7
2016-01-20,5
2016-01-21,5
2016-01-22,6
2016-01-23,6
2016-01-24,6
2016-01-25,3
2016-01-26,6
2016-01-27,6
2016-01-28,6
2016-01-29,5
2016-01-30,6
2016-01-31,8
2016-02-01,9
2016-02-02,10
2016-02-03,8
2016-02-04,8
2016-02-05,7
2016-02-06,5
2016-02-07,3
2016-02-08,2
2016-02-09,3
2016-02-10,7
2016-02-11,6
2016-02-12,2
2016-02-13,3
2016-02-14,2
2016-02-15,2
2016-02-16,4
2016-02-18,1
2016-02-19,0
2016-02-20,2
2016-02-21,2
2016-02-22,3
2016-02-23,4
2016-02-24,7
2016-02-25,7
2016-02-26,5
2016-02-27,6
2016-02-28,6
2016-02-29,6
2016-04-01,7
2016-04-02,5
2016-04-03,7
2016-04-04,6
2016-04-05,8
2016-04-06,7
2016-04-07,6
2016-04-08,7
2016-04-09,3
2016-04-10,4
2016-04-11,3
2016-04-12,4
2016-04-13,6
2016-04-14,6
2016-04-15,4
2016-04-16,7
2016-04-17,7
2016-04-18,6
2016-04-20,7
2016-04-21,10
2016-04-22,9
2016-04-23,5
2016-04-24,6
2016-04-25,9
2016-04-26,5
2016-04-27,6
2016-04-28,7
2016-04-29,7
2016-04-30,6
2016-05-01,8
2016-05-02,10
2016-05-03,8
2016-05-04,7
2016-05-05,7
2016-05-06,5
2016-05-07,8
2016-05-08,11
2016-05-09,9
2016-05-10,8
2016-05-11,10
2016-05-12,9
2016-05-13,8
2016-05-14,6
2016-05-15,5
2016-05-16,7
2016-05-17,6
2016-05-18,10
2016-05-19,10
2016-05-20,12
2016-05-22,6
2016-05-23,8
2016-05-24,10
2016-05-25,10
2016-05-26,5
2016-05-27,7
2016-05-28,7
2016-05-29,8
2016-05-30,7
2016-05-31,7
2016-06-01,10
2016-06-02,12
2016-06-03,11
2016-06-04,10
2016-06-05,8
2016-06-06,8
2016-06-07,8
2016-06-08,8
2016-06-09,10
2016-06-10,10
2016-06-11,10
2016-06-12,9
2016-06-13,9
2016-06-14,9
2016-06-15,9
2016-06-16,9
2016-06-17,8
2016-06-18,6
2016-06-19,4
