Year,Month,Day,toola.dd
2015,9,26,7
2015,9,27,7
2015,9,28,8
2015,9,29,9
2015,9,30,10
2015,10,1,11
2015,10,2,12
2015,10,3,11
2015,10,4,11
2015,10,5,8
2015,10,6,8
2015,10,7,9
2015,10,8,11
2015,10,9,12
2015,10,10,15
2015,10,11,11
2015,10,12,12
2015,10,13,12
2015,10,15,8
2015,10,16,5
2015,10,17,5
2015,10,18,5
2015,10,19,7
2015,10,20,9
2015,10,21,6
2015,10,22,7
2015,10,23,6
2015,10,24,6
2015,10,25,8
2015,10,26,12
2015,10,27,11
2015,10,28,11
2015,10,29,12
2015,10,30,13
2015,10,31,11
2015,11,1,10
2015,11,2,10
2015,11,3,8
2015,11,4,11
2015,11,5,9
2015,11,6,12
2015,11,7,9
2015,11,8,12
2015,11,9,10
2015,11,10,12
2015,11,11,13
2015,11,12,10
2015,11,13,11
2015,11,15,6
2015,11,16,3
2015,11,17,5
2015,11,18,6
2015,11,19,7
2015,11,20,7
2015,11,21,5
2015,11,22,6
2015,11,23,9
2015,11,24,11
2015,11,25,10
2015,11,26,6
2015,11,27,7
2015,11,28,7
2015,11,29,9
2015,11,30,9
2015,12,1,9
2015,12,2,9
2015,12,3,8
2015,12,4,9
2015,12,5,8
2015,12,6,9
2015,12,7,10
2015,12,8,9
2015,12,9,8
2015,12,10,8
2015,12,11,6
2015,12,12,6
2015,12,13,5
2015,12,14,8
2015,12,15,7
2015,12,17,6
2015,12,18,6
2015,12,19,4
2015,12,20,5
2015,12,21,4
2015,12,22,1
2015,12,23,4
2015,12,24,4
2015,12,25,4
2015,12,26,4
2015,12,27,5
2015,12,28,8
2015,12,29,11
2015,12,30,11
2015,12,31,10
2016,1,1,10
2016,1,2,9
2016,1,3,9
2016,1,4,10
2016,1,5,10
2016,1,6,7
2016,1,7,6
2016,1,8,7
2016,1,9,8
2016,1,10,7
2016,1,11,6
2016,1,12,6
2016,1,13,6
2016,1,14,5
2016,1,15,5
2016,1,17,2
2016,1,18,2
2016,1,19,7
2016,1,20,5
2016,1,21,5
2016,1,22,6
2016,1,23,6
2016,1,24,6
2016,1,25,3
2016,1,26,6
2016,1,27,6
2016,1,28,6
2016,1,29,5
2016,1,30,6
2016,1,31,8
2016,2,1,9
2016,2,2,10
2016,2,3,8
2016,2,4,8
2016,2,5,7
2016,2,6,5
2016,2,7,3
2016,2,8,2
2016,2,9,3
2016,2,10,7
2016,2,11,6
2016,2,12,2
2016,2,13,3
2016,2,14,2
2016,2,15,2
2016,2,16,4
2016,2,18,1
2016,2,19,0
2016,2,20,2
2016,2,21,2
2016,2,22,3
2016,2,23,4
2016,2,24,7
2016,2,25,7
2016,2,26,5
2016,2,27,6
2016,2,28,6
2016,2,29,6
2016,3,1,0
2016,3,2,0
2016,3,3,0
2016,3,4,0
2016,3,5,0
2016,3,6,0
2016,3,7,0
2016,3,8,0
2016,3,9,0
2016,3,10,0
2016,3,11,0
2016,3,12,0
2016,3,13,0
2016,3,14,0
2016,3,15,0
2016,3,16,0
2016,3,17,0
2016,3,18,0
2016,3,19,0
2016,3,21,0
2016,3,22,0
2016,3,23,0
2016,3,24,0
2016,3,25,0
2016,3,26,0
2016,3,27,0
2016,3,28,0
2016,3,29,0
2016,3,30,0
2016,3,31,0
2016,4,1,7
2016,4,2,5
2016,4,3,7
2016,4,4,6
2016,4,5,8
2016,4,6,7
2016,4,7,6
2016,4,8,7
2016,4,9,3
2016,4,10,4
2016,4,11,3
2016,4,12,4
2016,4,13,6
2016,4,14,6
2016,4,15,4
2016,4,16,7
2016,4,17,7
2016,4,18,6
2016,4,20,7
2016,4,21,10
2016,4,22,9
2016,4,23,5
2016,4,24,6
2016,4,25,9
2016,4,26,5
2016,4,27,6
2016,4,28,7
2016,4,29,7
2016,4,30,6
2016,5,1,8
2016,5,2,10
2016,5,3,8
2016,5,4,7
2016,5,5,7
2016,5,6,5
2016,5,7,8
2016,5,8,11
2016,5,9,9
2016,5,10,8
2016,5,11,10
2016,5,12,9
2016,5,13,8
2016,5,14,6
2016,5,15,5
2016,5,16,7
