Year,Month,Day,toolb.dd
2015,5,30,17
2015,5,31,17
2015,6,1,19
2015,6,2,18
2015,6,3,15
2015,6,4,17
2015,6,5,21
2015,6,6,18
2015,6,7,19
2015,6,8,22
2015,6,10,13
2015,6,11,14
2015,6,12,16
2015,6,13,17
2015,6,14,18
2015,6,15,15
2015,6,16,14
2015,6,17,15
2015,6,18,16
2015,6,19,21
2015,6,20,20
2015,6,21,16
2015,6,22,14
2015,6,23,16
2015,6,24,16
2015,6,25,15
2015,6,26,20
2015,6,27,20
2015,6,28,19
2015,6,29,20
2015,6,30,16
2015,7,1,19
2015,7,2,15
2015,7,3,17
2015,7,4,18
2015,7,5,15
2015,7,6,18
2015,7,7,19
2015,7,8,19
2015,7,9,18
2015,7,10,18
2015,7,12,18
2015,7,13,18
2015,7,14,17
2015,7,15,12
2015,7,16,10
2015,7,17,12
2015,7,18,14
2015,7,19,14
2015,7,20,18
2015,7,21,18
2015,7,22,18
2015,7,23,24
2015,7,24,22
2015,7,25,19
2015,7,26,21
2015,7,27,22
2015,7,28,26
2015,7,29,25
2015,7,30,20
2015,7,31,22
2015,8,1,21
2015,8,2,18
2015,8,3,19
2015,8,4,18
2015,8,5,19
2015,8,6,22
2015,8,7,19
2015,8,8,23
2015,8,9,23
2015,8,10,19
2015,8,12,21
2015,8,13,27
2015,8,14,29
2015,8,15,35
2015,8,16,28
2015,8,17,31
2015,8,18,23
2015,8,19,30
2015,8,20,30
2015,8,21,27
2015,8,22,26
2015,8,23,21
2015,8,24,25
2015,8,25,24
2015,8,26,26
2015,8,27,27
2015,8,28,21
2015,8,29,21
2015,8,30,22
2015,8,31,25
2015,9,1,26
2015,9,2,25
2015,9,3,23
2015,9,4,22
2015,9,5,23
2015,9,6,22
2015,9,7,25
2015,9,8,23
2015,9,9,25
2015,9,10,28
2015,9,11,23
2015,9,13,21
2015,9,14,27
2015,9,15,28
2015,9,16,28
2015,9,17,25
2015,9,18,22
2015,9,19,22
2015,9,20,26
2015,9,21,23
2015,9,22,23
2015,9,23,25
2015,9,24,26
2015,9,25,26
2015,9,26,20
2015,9,27,19
2015,9,28,26
2015,9,29,25
2015,9,30,25
2015,10,1,24
2015,10,2,22
2015,10,3,25
2015,10,4,26
2015,10,5,24
2015,10,6,27
2015,10,7,29
2015,10,8,24
2015,10,9,26
2015,10,10,23
2015,10,11,21
2015,10,12,22
2015,10,13,22
2015,10,15,22
2015,10,16,23
2015,10,17,22
2015,10,18,23
2015,10,19,18
2015,10,20,18
2015,10,21,18
2015,10,22,19
2015,10,23,22
2015,10,24,22
2015,10,25,22
2015,10,26,25
2015,10,27,19
2015,10,28,18
2015,10,29,22
2015,10,30,19
2015,10,31,19
2015,11,1,18
2015,11,2,18
2015,11,3,18
2015,11,4,14
2015,11,5,17
2015,11,6,22
2015,11,7,21
2015,11,8,19
2015,11,9,20
2015,11,10,19
2015,11,11,18
2015,11,12,19
2015,11,13,19
2015,11,15,24
2015,11,16,19
2015,11,17,15
2015,11,18,16
2015,11,19,15
2015,11,20,18
2015,11,21,21
2015,11,22,19
2015,11,23,19
2015,11,24,18
2015,11,25,21
2015,11,26,21
2015,11,27,17
2015,11,28,20
2015,11,29,18
2015,11,30,18
2015,12,1,22
2015,12,2,25
2015,12,3,18
2015,12,4,21
2015,12,5,22
2015,12,6,21
2015,12,7,21
2015,12,8,19
2015,12,9,20
2015,12,10,16
2015,12,11,19
2015,12,12,14
2015,12,13,17
2015,12,14,17
2015,12,15,11
2015,12,17,16
2015,12,18,18
2015,12,19,17
2015,12,20,20
2015,12,21,21
2015,12,22,17
2015,12,23,14
2015,12,24,16
2015,12,25,15
2015,12,26,15
2015,12,27,12
2015,12,28,10
2015,12,29,14
2015,12,30,15
2015,12,31,19
2016,1,1,20
2016,1,2,22
2016,1,3,16
2016,1,4,17
2016,1,5,20
2016,1,6,15
2016,1,7,12
2016,1,8,15
2016,1,9,10
2016,1,10,13
2016,1,11,12
2016,1,12,11
2016,1,13,11
2016,1,14,11
2016,1,15,13
2016,1,17,17
2016,1,18,15
2016,1,19,14
2016,1,20,15
2016,1,21,17
2016,1,22,17
2016,1,23,16
2016,1,24,17
2016,1,25,17
2016,1,26,19
2016,1,27,15
2016,1,28,17
2016,1,29,18
2016,1,30,16
2016,1,31,16
2016,2,1,14
2016,2,2,14
2016,2,3,16
2016,2,4,16
2016,2,5,13
2016,2,6,11
2016,2,7,13
2016,2,8,15
2016,2,9,13
2016,2,10,14
2016,2,11,16
2016,2,12,12
2016,2,13,13
2016,2,14,12
2016,2,15,16
2016,2,16,15
2016,2,18,12
2016,2,19,15
