Year,Month,Day,toolc.dd
2015,10,26,6
2015,10,27,6
2015,10,28,4
2015,10,29,4
2015,10,30,4
2015,10,31,4
2015,11,1,5
2015,11,2,6
2015,11,3,6
2015,11,4,6
2015,11,5,9
2015,11,6,11
2015,11,7,11
2015,11,8,10
2015,11,9,9
2015,11,10,6
2015,11,11,8
2015,11,12,7
2015,11,13,5
2015,11,14,5
2015,11,15,5
2015,11,16,2
2015,11,17,3
2015,11,18,2
2015,11,19,3
2015,11,20,2
2015,11,21,4
2015,11,22,6
2015,11,23,5
2015,11,24,5
2015,11,25,6
2015,11,26,5
2015,11,27,3
2015,11,28,5
2015,11,29,5
2015,11,30,4
2015,12,1,4
2015,12,2,4
2015,12,3,3
2015,12,4,7
2015,12,5,8
2015,12,6,7
2015,12,7,7
2015,12,8,6
2015,12,9,6
2015,12,10,5
2015,12,11,5
2015,12,12,5
2015,12,13,6
2015,12,14,6
2015,12,15,5
2015,12,16,6
2015,12,17,6
2015,12,18,5
2015,12,19,5
2015,12,20,5
2015,12,21,3
2015,12,22,4
2015,12,23,7
2015,12,24,8
2015,12,25,8
2015,12,26,7
2015,12,27,6
2015,12,28,5
2015,12,29,7
2015,12,30,7
2015,12,31,6
2016,1,1,8
2016,1,2,8
2016,1,3,6
2016,1,4,4
2016,1,5,3
2016,1,6,2
2016,1,7,1
2016,1,8,4
2016,1,9,5
2016,1,10,2
2016,1,11,3
2016,1,12,1
2016,1,13,1
2016,1,14,2
2016,1,15,2
2016,1,16,3
2016,1,17,2
2016,1,18,0
2016,1,19,1
2016,1,20,3
2016,1,21,4
2016,1,22,3
2016,1,23,3
2016,1,24,2
2016,1,25,2
2016,1,26,3
2016,1,27,5
2016,1,28,5
2016,1,29,5
2016,1,30,6
2016,1,31,6
2016,2,1,3
2016,2,2,3
2016,2,3,3
2016,2,4,4
2016,2,5,4
2016,2,6,2
2016,2,7,2
2016,2,8,3
2016,2,9,3
2016,2,10,2
2016,2,11,3
2016,2,12,2
2016,2,13,3
2016,2,14,3
2016,2,15,3
2016,2,16,3
2016,2,17,3
2016,2,18,4
2016,2,19,5
2016,2,20,5
2016,2,21,4
2016,2,22,3
2016,2,23,3
2016,2,24,3
2016,2,25,3
2016,2,26,2
2016,2,27,3
2016,2,28,3
2016,2,29,3
2016,3,1,0
2016,3,2,0
2016,3,3,0
2016,3,4,0
2016,3,5,0
2016,3,6,0
2016,3,7,0
2016,3,8,0
2016,3,9,0
2016,3,10,0
2016,3,11,0
2016,3,12,0
2016,3,13,0
2016,3,14,0
2016,3,15,0
2016,3,16,0
2016,3,17,0
2016,3,18,0
2016,3,19,0
2016,3,20,0
2016,3,21,0
2016,3,22,0
2016,3,23,0
2016,3,24,0
2016,3,25,0
2016,3,26,0
2016,3,27,0
